Sentence;Degree of Truth;Degree of Support
For almost no records in euthymia, context_no_calls is medium;0.27829527325448417;0.42105263157894735
For some records in euthymia, context_no_calls is medium;0.38837139341218235;0.42105263157894735
For almost no records in euthymia, context_no_calls is high;0.6248503889082907;0.32842105263157895
For some records in euthymia, context_no_calls is high;0.041816277758376;0.32842105263157895
For some records in euthymia, context_prc_nottakencalls is low;0.9023019188551283;0.4963235294117647
For almost no records in euthymia, context_prc_nottakencalls is medium;0.3670057043659289;0.5147058823529411
For some records in euthymia, context_prc_nottakencalls is medium;0.2996609623007377;0.5147058823529411
For almost no records in euthymia, context_prc_nottakencalls is high;0.8794715809255343;0.3492647058823529
For some records in euthymia, context_prc_out_calls is low;0.8651892294750106;0.5023474178403756
For almost no records in euthymia, context_prc_out_calls is medium;0.36353266759085057;0.5187793427230047
For some records in euthymia, context_prc_out_calls is medium;0.303133999075816;0.5187793427230047
For almost no records in euthymia, context_prc_out_calls is high;0.8073862285889077;0.37089201877934275
For some records in euthymia, context_avg_duration_calls is low;0.8213052063030237;0.4781659388646288
For almost no records in euthymia, context_avg_duration_calls is medium;0.467835264735553;0.4890829694323144
For some records in euthymia, context_avg_duration_calls is medium;0.1988314019311136;0.4890829694323144
For almost no records in euthymia, context_avg_duration_calls is high;0.791086008248715;0.3406113537117904
For some records in euthymia, self_avg_sleep_time is low;0.5943562610558385;0.5432098765432098
For most records in euthymia, self_avg_sleep_time is low;0.4056437389441615;0.5432098765432098
For almost no records in euthymia, self_avg_sleep_time is medium;0.09968608922174699;0.3395061728395062
For some records in euthymia, self_avg_sleep_time is medium;0.5669805774449195;0.3395061728395062
For almost no records in euthymia, self_avg_sleep_time is high;1.0;0.19135802469135801
For some records in euthymia, self_avg_comment_len_sleep is low;1.0;0.5
For almost no records in euthymia, self_avg_comment_len_sleep is medium;0.8528893038697892;0.35714285714285715
For almost no records in euthymia, self_avg_comment_len_sleep is high;0.575853642427845;0.35714285714285715
For some records in euthymia, self_avg_comment_len_sleep is high;0.09081302423882164;0.35714285714285715
For some records in euthymia, self_avg_feeling is low;0.7207207207106742;0.3581081081081081
For almost no records in euthymia, self_avg_feeling is medium;1.0;0.20270270270270271
For some records in euthymia, self_avg_feeling is high;1.0;0.49324324324324326
For some records in euthymia, self_avg_comment_len_mood is low;1.0;0.47058823529411764
For almost no records in euthymia, self_avg_comment_len_mood is medium;0.6815210932937071;0.35294117647058826
For almost no records in euthymia, self_avg_comment_len_mood is high;0.3777089783281733;0.35294117647058826
For some records in euthymia, self_avg_comment_len_mood is high;0.2889576883384933;0.35294117647058826
For some records in euthymia, context_stddev_duration_calls is low;0.8951073875582836;0.4771084337349398
For almost no records in euthymia, context_stddev_duration_calls is medium;0.5460147757013898;0.491566265060241
For some records in euthymia, context_stddev_duration_calls is medium;0.12065189096527687;0.491566265060241
For almost no records in euthymia, context_stddev_duration_calls is high;0.8316333256641434;0.344578313253012
For almost no records in euthymia, context_no_all_calls is low;0.008899729504732539;0.3957894736842105
For some records in euthymia, context_no_all_calls is low;0.6577669371619339;0.3957894736842105
For almost no records in euthymia, context_no_all_calls is medium;0.3138462201851811;0.40842105263157896
For some records in euthymia, context_no_all_calls is medium;0.3528204464814854;0.40842105263157896
For almost no records in euthymia, context_no_all_calls is high;0.6330111936929222;0.3263157894736842
For some records in euthymia, context_no_all_calls is high;0.03365547297374445;0.3263157894736842
For almost no records in euthymia, hamd is low;1.0;0.09894736842105263
For almost no records in euthymia, hamd is medium;1.0;0.002105263157894737
For almost no records in euthymia, hamd is high;1.0;0.0
For almost no records in euthymia, hamd is very high;1.0;0.0
For almost no records in euthymia, yms is low;1.0;0.04
For almost no records in euthymia, yms is medium;1.0;0.0
For almost no records in euthymia, yms is high;1.0;0.0
For almost no records in mixed, context_no_day_incoming_calls is low;0.7973856209150328;0.24509803921568626
For some records in mixed, context_no_day_incoming_calls is medium;0.8714596949890888;0.4019607843137255
For almost no records in mixed, context_no_day_incoming_calls is high;0.6412490922294842;0.3137254901960784
For some records in mixed, context_no_day_incoming_calls is high;0.02541757443718243;0.3137254901960784
For some records in mixed, context_avg_day_duration_incoming is low;0.7543371677082151;0.45977011494252873
For almost no records in mixed, context_avg_day_duration_incoming is medium;0.3269574777548842;0.4482758620689655
For some records in mixed, context_avg_day_duration_incoming is medium;0.3397091889117823;0.4482758620689655
For almost no records in mixed, context_avg_day_duration_incoming is high;0.5709591016701377;0.3563218390804598
For some records in mixed, context_avg_day_duration_incoming is high;0.09570756499652887;0.3563218390804598
For almost no records in mixed, context_stddev_duration_incoming is low;0.2605401390561576;0.3898305084745763
For some records in mixed, context_stddev_duration_incoming is low;0.40612652761050894;0.3898305084745763
For almost no records in mixed, context_stddev_duration_incoming is medium;0.5183011853995421;0.4745762711864407
For some records in mixed, context_stddev_duration_incoming is medium;0.1483654812671246;0.4745762711864407
For almost no records in mixed, context_stddev_duration_incoming is high;0.19296396779672695;0.4406779661016949
For some records in mixed, context_stddev_duration_incoming is high;0.47370269886993954;0.4406779661016949
For almost no records in mixed, context_no_day_outgoing_calls is low;0.41859774212715367;0.3333333333333333
For some records in mixed, context_no_day_outgoing_calls is low;0.24806892453951285;0.3333333333333333
For almost no records in mixed, context_no_day_outgoing_calls is medium;0.46394308210613683;0.4117647058823529
For some records in mixed, context_no_day_outgoing_calls is medium;0.2027235845605298;0.4117647058823529
For almost no records in mixed, context_no_day_outgoing_calls is high;0.3833108188961333;0.4117647058823529
For some records in mixed, context_no_day_outgoing_calls is high;0.28335584777053335;0.4117647058823529
For almost no records in mixed, context_avg_day_duration_outgoing is low;0.3104663525125196;0.36046511627906974
For some records in mixed, context_avg_day_duration_outgoing is low;0.35620031415414694;0.36046511627906974
For almost no records in mixed, context_avg_day_duration_outgoing is medium;0.30300394774415196;0.43023255813953487
For some records in mixed, context_avg_day_duration_outgoing is medium;0.36366271892251456;0.43023255813953487
For almost no records in mixed, context_avg_day_duration_outgoing is high;0.3265847455736064;0.4186046511627907
For some records in mixed, context_avg_day_duration_outgoing is high;0.3400819210930601;0.4186046511627907
For almost no records in mixed, context_stddev_duration_outgoing is low;0.4968436673203111;0.32
For some records in mixed, context_stddev_duration_outgoing is low;0.16982299934635547;0.32
For almost no records in mixed, context_stddev_duration_outgoing is medium;0.40838112449954694;0.4533333333333333
For some records in mixed, context_stddev_duration_outgoing is medium;0.25828554216711963;0.4533333333333333
For almost no records in mixed, context_stddev_duration_outgoing is high;0.29379203154157474;0.4666666666666667
For some records in mixed, context_stddev_duration_outgoing is high;0.3728746351250918;0.4666666666666667
For some records in mixed, context_no_nottakencalls is low;1.0;0.4411764705882353
For some records in mixed, context_no_nottakencalls is medium;0.9183006535947715;0.5294117647058824
For most records in mixed, context_no_nottakencalls is medium;0.08169934640522848;0.5294117647058824
For some records in mixed, context_no_nottakencalls is high;0.843137254901961;0.4019607843137255
For some records in mixed, context_no_sms is low;1.0;0.4803921568627451
For some records in mixed, context_no_sms is medium;0.8273458745975621;0.45098039215686275
For some records in mixed, context_no_sms is high;1.0;0.46078431372549017
For almost no records in mixed, context_avg_len_sms is low;0.16325225789808628;0.38571428571428573
For some records in mixed, context_avg_len_sms is low;0.5034144087685802;0.38571428571428573
For almost no records in mixed, context_avg_len_sms is medium;0.4320324856095493;0.45714285714285713
